Rapport généré le : 2025-07-29 15:55:40;Critères de recherche : Aucun;Nombre de répertoires : 32;Nombre de fichiers : 155;Temps total : 0.06 secondes

type;repertoire;nom;taille;date_derniere_modification
repertoire;c:\\temp\\;;796.27 Mo;2025-07-29 15:55:40
fichier;c:\\temp\\;2_test_fastapi.py;224 octets;2025-04-15 18:02:05
fichier;c:\\temp\\;analyze_csv.py;3.33 Ko;2025-07-10 10:46:44
fichier;c:\\temp\\;Cahier des Charges Fonctionnel – Module d'Audit Automatique (DQFB-Audit-V1.0).md;8.92 Ko;2025-07-10 17:27:28
fichier;c:\\temp\\;canevas_audit_csv_ameliore.md;4.82 Ko;2025-07-10 14:47:46
fichier;c:\\temp\\;canevas_csv.txt;720.48 Ko;2025-07-10 13:00:44
fichier;c:\\temp\\;conversations - Copie.json;369.98 Mo;2025-07-19 09:29:42
fichier;c:\\temp\\;conversations.db;1020.0 Ko;2025-07-19 13:06:59
fichier;c:\\temp\\;conversations_enrichies.csv;790.38 Ko;2025-07-19 13:03:40
fichier;c:\\temp\\;conversations_extraites.csv;763.05 Ko;2025-07-19 12:55:02
fichier;c:\\temp\\;CSVAnalyzer_simple.py;3.32 Ko;2025-07-10 10:26:10
fichier;c:\\temp\\;daily-bike-share.csv;41.86 Ko;2025-02-07 16:26:09
fichier;c:\\temp\\;Default.pulsepreconfig;1.95 Ko;2024-07-16 12:14:28
fichier;c:\\temp\\;demo.csv;39 octets;2025-05-05 14:31:08
fichier;c:\\temp\\;Détection d'Encodage.py;2.27 Ko;2025-07-11 13:29:54
fichier;c:\\temp\\;EnableSMB1.log;7.0 Ko;2025-03-17 19:33:38
fichier;c:\\temp\\;exemple.txt;85 octets;2025-04-18 16:10:57
fichier;c:\\temp\\;file.csv;17 octets;2025-07-28 18:05:46
fichier;c:\\temp\\;joueur_objet.py;710 octets;2025-07-08 12:07:15
fichier;c:\\temp\\;joueur_procedural.py;1.09 Ko;2025-07-08 11:34:02
fichier;c:\\temp\\;jour2.py;422 octets;2025-04-16 10:06:36
fichier;c:\\temp\\;main.py;206 octets;2025-05-16 21:30:04
fichier;c:\\temp\\;main2.py;492 octets;2025-04-15 19:02:07
fichier;c:\\temp\\;mon_script.log;287 octets;2025-05-05 14:59:08
fichier;c:\\temp\\;new 3.txt;736.6 Ko;2025-07-09 18:47:48
fichier;c:\\temp\\;Nouveau dossier.zip;8.54 Ko;2025-07-08 15:46:15
fichier;c:\\temp\\;nyc_weather.csv;1.34 Ko;2025-04-08 11:40:22
fichier;c:\\temp\\;pandastrain20250410.py;270 octets;2025-04-11 10:20:44
fichier;c:\\temp\\;rapport_20250710_103118.txt;367 octets;2025-07-10 10:31:18
fichier;c:\\temp\\;rapport_20250710_103225.txt;733 octets;2025-07-10 10:32:25
fichier;c:\\temp\\;rapport_20250710_103626.txt;528 octets;2025-07-10 10:36:26
fichier;c:\\temp\\;rapport_20250710_104004.txt;528 octets;2025-07-10 10:40:04
fichier;c:\\temp\\;rapport_encodage_machine.csv;306.95 Ko;2025-07-11 10:40:02
fichier;c:\\temp\\;repertoire-fichiers-csv.py;2.48 Ko;2025-07-28 18:13:08
fichier;c:\\temp\\;resume_sortie.csv;276 octets;2025-07-11 10:51:09
fichier;c:\\temp\\;run_server.py;138 octets;2025-04-15 18:19:38
fichier;c:\\temp\\;sanstitre12.py;713 octets;2025-04-18 16:28:26
fichier;c:\\temp\\;sanstitre15.py;270 octets;2025-04-08 20:19:39
fichier;c:\\temp\\;sanstitre16.py;841 octets;2025-05-05 15:08:36
fichier;c:\\temp\\;sanstitre2.py;608 octets;2025-07-10 11:17:39
fichier;c:\\temp\\;sanstitre4.py;1.38 Ko;2025-05-16 21:42:35
fichier;c:\\temp\\;sanstitre5.py;93 octets;2025-05-13 14:54:59
fichier;c:\\temp\\;scan_files_computer_encoding.py;2.74 Ko;2025-07-11 12:04:12
fichier;c:\\temp\\;Sommeil.csv;1.04 Ko;2025-04-25 10:36:57
fichier;c:\\temp\\;test.csv;11.26 Ko;2025-07-29 14:53:10
fichier;c:\\temp\\;testcmd.py;1.08 Ko;2025-05-13 15:29:45
fichier;c:\\temp\\;test_df.py;188 octets;2025-07-09 18:17:53
fichier;c:\\temp\\;test_import.py;5.45 Ko;2025-07-07 15:12:57
fichier;c:\\temp\\;Titanic.csv;59.76 Ko;2021-06-17 18:09:20
fichier;c:\\temp\\;trouver_fichiers_compte_rendu.py;1.3 Ko;2025-07-23 12:50:46
fichier;c:\\temp\\;trouver_separateur.py;1.05 Ko;2025-07-11 13:18:03
fichier;c:\\temp\\;Untitled-1.py;955 octets;2025-05-07 10:00:48
fichier;c:\\temp\\;ventes.csv;190 octets;2025-07-10 10:51:14
fichier;c:\\temp\\;Welcome.md;499 octets;2025-07-10 17:22:23
repertoire;c:\\temp\\.obsidian;;7.21 Ko;2025-07-10 17:22:05
fichier;c:\\temp\\.obsidian;app.json;2 octets;2025-07-10 17:22:05
fichier;c:\\temp\\.obsidian;appearance.json;2 octets;2025-07-10 17:22:05
fichier;c:\\temp\\.obsidian;core-plugins.json;658 octets;2025-07-10 17:22:05
fichier;c:\\temp\\.obsidian;graph.json;493 octets;2025-07-10 17:22:06
fichier;c:\\temp\\.obsidian;workspace.json;6.09 Ko;2025-07-10 17:29:05
repertoire;c:\\temp\\chunks;;421.38 Mo;2025-07-19 12:36:12
fichier;c:\\temp\\chunks;chunk_1.json;25.13 Mo;2025-07-19 12:35:58
fichier;c:\\temp\\chunks;chunk_10.json;13.12 Mo;2025-07-19 12:36:02
fichier;c:\\temp\\chunks;chunk_11.json;6.77 Mo;2025-07-19 12:36:03
fichier;c:\\temp\\chunks;chunk_12.json;9.43 Mo;2025-07-19 12:36:04
fichier;c:\\temp\\chunks;chunk_13.json;12.02 Mo;2025-07-19 12:36:04
fichier;c:\\temp\\chunks;chunk_14.json;10.86 Mo;2025-07-19 12:36:04
fichier;c:\\temp\\chunks;chunk_15.json;21.5 Mo;2025-07-19 12:36:05
fichier;c:\\temp\\chunks;chunk_16.json;11.41 Mo;2025-07-19 12:36:06
fichier;c:\\temp\\chunks;chunk_17.json;8.68 Mo;2025-07-19 12:36:06
fichier;c:\\temp\\chunks;chunk_18.json;8.35 Mo;2025-07-19 12:36:07
fichier;c:\\temp\\chunks;chunk_19.json;10.51 Mo;2025-07-19 12:36:07
fichier;c:\\temp\\chunks;chunk_2.json;17.6 Mo;2025-07-19 12:35:58
fichier;c:\\temp\\chunks;chunk_20.json;8.59 Mo;2025-07-19 12:36:07
fichier;c:\\temp\\chunks;chunk_21.json;19.41 Mo;2025-07-19 12:36:08
fichier;c:\\temp\\chunks;chunk_22.json;9.58 Mo;2025-07-19 12:36:08
fichier;c:\\temp\\chunks;chunk_23.json;13.13 Mo;2025-07-19 12:36:09
fichier;c:\\temp\\chunks;chunk_24.json;14.21 Mo;2025-07-19 12:36:09
fichier;c:\\temp\\chunks;chunk_25.json;12.59 Mo;2025-07-19 12:36:10
fichier;c:\\temp\\chunks;chunk_26.json;11.4 Mo;2025-07-19 12:36:10
fichier;c:\\temp\\chunks;chunk_27.json;9.0 Mo;2025-07-19 12:36:11
fichier;c:\\temp\\chunks;chunk_28.json;4.0 Mo;2025-07-19 12:36:11
fichier;c:\\temp\\chunks;chunk_29.json;13.13 Mo;2025-07-19 12:36:11
fichier;c:\\temp\\chunks;chunk_3.json;12.92 Mo;2025-07-19 12:35:59
fichier;c:\\temp\\chunks;chunk_30.json;7.71 Mo;2025-07-19 12:36:11
fichier;c:\\temp\\chunks;chunk_31.json;3.64 Mo;2025-07-19 12:36:11
fichier;c:\\temp\\chunks;chunk_32.json;8.7 Mo;2025-07-19 12:36:12
fichier;c:\\temp\\chunks;chunk_33.json;5.53 Mo;2025-07-19 12:36:12
fichier;c:\\temp\\chunks;chunk_34.json;7.59 Mo;2025-07-19 12:36:12
fichier;c:\\temp\\chunks;chunk_35.json;595.55 Ko;2025-07-19 12:36:12
fichier;c:\\temp\\chunks;chunk_4.json;11.1 Mo;2025-07-19 12:35:59
fichier;c:\\temp\\chunks;chunk_5.json;22.13 Mo;2025-07-19 12:36:00
fichier;c:\\temp\\chunks;chunk_6.json;22.01 Mo;2025-07-19 12:36:00
fichier;c:\\temp\\chunks;chunk_7.json;17.31 Mo;2025-07-19 12:36:01
fichier;c:\\temp\\chunks;chunk_8.json;7.5 Mo;2025-07-19 12:36:01
fichier;c:\\temp\\chunks;chunk_9.json;24.24 Mo;2025-07-19 12:36:02
repertoire;c:\\temp\\htmljson;;3.5 Ko;2025-04-17 09:31:05
fichier;c:\\temp\\htmljson;main.py;1.07 Ko;2025-04-16 23:40:58
fichier;c:\\temp\\htmljson;main2.py;0 octets;2025-04-17 09:31:05
fichier;c:\\temp\\htmljson;run_server.py;219 octets;2025-04-16 23:45:10
repertoire;c:\\temp\\htmljson\siteweb;;746 octets;2025-04-16 23:43:41
fichier;c:\\temp\\htmljson\siteweb;index.html;746 octets;2025-04-16 23:43:41
repertoire;c:\\temp\\htmljson\static;;109 octets;2025-04-16 23:44:18
repertoire;c:\\temp\\htmljson\static\css;;109 octets;2025-04-16 23:44:41
fichier;c:\\temp\\htmljson\static\css;style.css;109 octets;2025-04-16 23:44:41
repertoire;c:\\temp\\htmljson\__pycache__;;1.38 Ko;2025-04-16 23:46:43
fichier;c:\\temp\\htmljson\__pycache__;main.cpython-312.pyc;1.38 Ko;2025-04-16 23:46:43
repertoire;c:\\temp\\Nouveau dossier;;20.75 Ko;2025-07-08 15:46:04
fichier;c:\\temp\\Nouveau dossier;csv_analyzer.py;1.54 Ko;2025-07-08 12:35:52
fichier;c:\\temp\\Nouveau dossier;csv_loader.py;3.32 Ko;2025-07-07 15:15:58
fichier;c:\\temp\\Nouveau dossier;data_transformer.py;3.23 Ko;2025-07-08 14:59:55
fichier;c:\\temp\\Nouveau dossier;data_validator.py;2.4 Ko;2025-07-08 14:36:12
fichier;c:\\temp\\Nouveau dossier;quick_analyzer.py;3.63 Ko;2025-07-07 15:10:24
fichier;c:\\temp\\Nouveau dossier;test_data_transformer.py;3.36 Ko;2025-07-08 15:02:08
fichier;c:\\temp\\Nouveau dossier;test_data_validator.py;3.27 Ko;2025-07-08 14:32:34
repertoire;c:\\temp\\reports;;47.36 Ko;2025-07-29 15:55:40
fichier;c:\\temp\\reports;complete_report_20250729_155540.csv;13.4 Ko;2025-07-29 15:55:40
fichier;c:\\temp\\reports;filtered_after_2024_20250729_155540.csv;13.73 Ko;2025-07-29 15:55:40
fichier;c:\\temp\\reports;filtered_contains_main_20250729_155540.csv;2.92 Ko;2025-07-29 15:55:40
fichier;c:\\temp\\reports;filtered_ext_py_20250729_155540.csv;5.68 Ko;2025-07-29 15:55:40
fichier;c:\\temp\\reports;filtered_regex_log_txt_20250729_155540.csv;3.81 Ko;2025-07-29 15:55:40
fichier;c:\\temp\\reports;filtered_size_20250729_155540.csv;7.83 Ko;2025-07-29 15:55:40
repertoire;c:\\temp\\temp;;0 octets;2025-07-10 17:29:25
repertoire;c:\\temp\\tools;;433.95 Ko;2025-07-21 18:00:01
fichier;c:\\temp\\tools;README.md;1.84 Ko;2025-07-07 14:49:02
fichier;c:\\temp\\tools;setup.py;1.42 Ko;2025-07-07 14:54:10
fichier;c:\\temp\\tools;test_data_validator.py;9.03 Ko;2025-07-09 12:15:11
repertoire;c:\\temp\\tools\.pytest_cache;;3.17 Ko;2025-07-21 10:31:02
fichier;c:\\temp\\tools\.pytest_cache;.gitignore;39 octets;2025-07-09 12:21:36
fichier;c:\\temp\\tools\.pytest_cache;CACHEDIR.TAG;191 octets;2025-07-09 12:21:36
fichier;c:\\temp\\tools\.pytest_cache;README.md;310 octets;2025-07-09 12:21:36
repertoire;c:\\temp\\tools\.pytest_cache\v;;2.64 Ko;2025-07-21 10:31:02
repertoire;c:\\temp\\tools\.pytest_cache\v\cache;;2.64 Ko;2025-07-21 10:31:02
fichier;c:\\temp\\tools\.pytest_cache\v\cache;lastfailed;2 octets;2025-07-09 15:04:44
fichier;c:\\temp\\tools\.pytest_cache\v\cache;nodeids;2.64 Ko;2025-07-09 15:04:44
fichier;c:\\temp\\tools\.pytest_cache\v\cache;stepwise;2 octets;2025-07-09 15:04:44
repertoire;c:\\temp\\tools\data_analysis;;28.33 Ko;2025-07-21 10:31:02
fichier;c:\\temp\\tools\data_analysis;csv_analyzer.py;9.35 Ko;2025-07-09 17:07:12
fichier;c:\\temp\\tools\data_analysis;desktop.ini;50 octets;2025-07-08 12:31:20
fichier;c:\\temp\\tools\data_analysis;quick_analyzer.py;3.63 Ko;2025-07-07 15:10:24
fichier;c:\\temp\\tools\data_analysis;__init__.py;0 octets;2025-07-07 12:47:15
repertoire;c:\\temp\\tools\data_analysis\logs;;1.67 Ko;2025-07-21 10:31:02
fichier;c:\\temp\\tools\data_analysis\logs;test.log;1.67 Ko;2025-07-08 12:35:52
repertoire;c:\\temp\\tools\data_analysis\__pycache__;;13.63 Ko;2025-07-21 10:31:02
fichier;c:\\temp\\tools\data_analysis\__pycache__;csv_analyzer.cpython-312.pyc;9.23 Ko;2025-07-09 17:23:22
fichier;c:\\temp\\tools\data_analysis\__pycache__;quick_analyzer.cpython-312.pyc;4.23 Ko;2025-07-07 16:07:40
fichier;c:\\temp\\tools\data_analysis\__pycache__;__init__.cpython-312.pyc;175 octets;2025-07-07 16:07:40
repertoire;c:\\temp\\tools\data_ingest;;7.22 Ko;2025-07-21 10:31:02
fichier;c:\\temp\\tools\data_ingest;csv_loader.py;3.32 Ko;2025-07-07 15:15:58
fichier;c:\\temp\\tools\data_ingest;__init__.py;0 octets;2025-07-07 12:47:15
repertoire;c:\\temp\\tools\data_ingest\__pycache__;;3.9 Ko;2025-07-21 10:31:02
fichier;c:\\temp\\tools\data_ingest\__pycache__;csv_loader.cpython-312.pyc;3.73 Ko;2025-07-09 15:16:56
fichier;c:\\temp\\tools\data_ingest\__pycache__;__init__.cpython-312.pyc;173 octets;2025-07-09 15:16:56
repertoire;c:\\temp\\tools\data_transform;;8.96 Ko;2025-07-21 10:31:02
fichier;c:\\temp\\tools\data_transform;data_transformer.py;3.23 Ko;2025-07-08 14:59:55
repertoire;c:\\temp\\tools\data_transform\logs;;1.98 Ko;2025-07-21 10:31:02
fichier;c:\\temp\\tools\data_transform\logs;test_data_transformer.log;1.98 Ko;2025-07-08 14:56:05
repertoire;c:\\temp\\tools\data_transform\__pycache__;;3.76 Ko;2025-07-21 10:31:02
fichier;c:\\temp\\tools\data_transform\__pycache__;data_transformer.cpython-312.pyc;3.76 Ko;2025-07-09 12:21:36
repertoire;c:\\temp\\tools\data_validation;;31.18 Ko;2025-07-21 10:31:02
fichier;c:\\temp\\tools\data_validation;data_validator.py;14.62 Ko;2025-07-09 17:01:53
fichier;c:\\temp\\tools\data_validation;desktop.ini;50 octets;2025-07-08 13:02:09
fichier;c:\\temp\\tools\data_validation;Sommeil.csv;1.67 Ko;2025-05-14 09:42:07
repertoire;c:\\temp\\tools\data_validation\logs;;1.88 Ko;2025-07-21 10:31:02
fichier;c:\\temp\\tools\data_validation\logs;test_data_validator.log;1.88 Ko;2025-07-08 13:02:14
repertoire;c:\\temp\\tools\data_validation\__pycache__;;12.95 Ko;2025-07-21 10:31:02
fichier;c:\\temp\\tools\data_validation\__pycache__;data_validator.cpython-312.pyc;12.95 Ko;2025-07-09 17:23:22
repertoire;c:\\temp\\tools\tests;;323.43 Ko;2025-07-21 10:31:02
fichier;c:\\temp\\tools\tests;csv_2025-07-09.txt;283.66 Ko;2025-07-09 15:14:38
fichier;c:\\temp\\tools\tests;test_data_transformer.py;3.36 Ko;2025-07-09 12:16:04
fichier;c:\\temp\\tools\tests;test_data_validator.py;9.15 Ko;2025-07-09 15:13:15
repertoire;c:\\temp\\tools\tests\logs;;1.7 Ko;2025-07-21 10:31:02
fichier;c:\\temp\\tools\tests\logs;test_data_validator.log;1.7 Ko;2025-07-08 13:08:09
repertoire;c:\\temp\\tools\tests\__pycache__;;25.57 Ko;2025-07-21 10:31:02
fichier;c:\\temp\\tools\tests\__pycache__;test_data_transformer.cpython-312-pytest-7.4.4.pyc;9.08 Ko;2025-07-09 12:21:36
fichier;c:\\temp\\tools\tests\__pycache__;test_data_validator.cpython-312-pytest-7.4.4.pyc;16.5 Ko;2025-07-09 15:02:06
repertoire;c:\\temp\\tools\tools.egg-info;;2.87 Ko;2025-07-21 10:31:03
fichier;c:\\temp\\tools\tools.egg-info;dependency_links.txt;1 octets;2025-07-07 15:16:31
fichier;c:\\temp\\tools\tools.egg-info;PKG-INFO;2.52 Ko;2025-07-07 15:16:31
fichier;c:\\temp\\tools\tools.egg-info;requires.txt;14 octets;2025-07-07 15:16:31
fichier;c:\\temp\\tools\tools.egg-info;SOURCES.txt;305 octets;2025-07-07 15:16:31
fichier;c:\\temp\\tools\tools.egg-info;top_level.txt;33 octets;2025-07-07 15:16:31
repertoire;c:\\temp\\tools\__pycache__;;16.48 Ko;2025-07-21 10:31:03
fichier;c:\\temp\\tools\__pycache__;test_data_validator.cpython-312-pytest-7.4.4.pyc;16.48 Ko;2025-07-09 12:21:36
repertoire;c:\\temp\\__pycache__;;1.7 Ko;2025-04-15 19:02:11
fichier;c:\\temp\\__pycache__;main.cpython-312.pyc;458 octets;2025-04-08 21:37:37
fichier;c:\\temp\\__pycache__;main2.cpython-312.pyc;1.25 Ko;2025-04-15 19:02:11
